SH0,RH0,P0,SH1,RH1,P1,SH2,RH2,P2,SH3,RH3,P3,SH4,RH4,P4,OUTPUT
102,203,234,42,143,264,59,188,295,22,143,264,2,136,234,1
102,203,234,42,143,264,87,188,295,42,143,264,35,136,234,1
102,203,234,42,143,264,87,188,295,42,143,264,35,136,234,1
102,203,234,42,143,264,87,188,295,42,143,264,35,136,234,1
102,203,234,42,143,264,87,160,295,42,183,264,35,136,234,1
102,203,234,42,143,264,87,188,295,42,143,264,35,136,234,1
102,203,234,42,163,264,87,203,295,42,143,264,35,136,234,1
102,203,234,62,163,264,102,203,295,42,143,264,35,136,234,1
102,203,234,62,203,264,102,203,295,42,143,264,35,136,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,123,264,2,117,295,2,103,264,2,103,234,1
2,103,234,2,123,264,2,117,295,2,103,264,2,169,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,123,264,2,103,295,2,103,264,2,136,234,0
2,103,234,2,143,264,2,117,295,2,103,264,2,136,234,0
35,136,234,62,163,264,44,145,295,2,103,264,35,136,234,1
35,136,234,62,163,264,44,145,295,2,103,264,35,136,234,1
35,136,234,62,163,264,44,160,295,2,103,264,35,169,234,0
35,136,234,62,183,264,44,160,295,2,103,264,35,169,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,169,234,2,103,264,2,103,295,2,103,264,2,103,234,1
68,169,234,2,103,264,2,103,295,2,103,264,2,103,234,1
68,169,234,2,103,264,2,103,295,2,143,264,2,103,234,1
68,169,234,2,103,264,2,117,295,2,143,264,2,136,234,1
68,169,234,2,143,264,16,117,295,42,143,264,35,136,234,1
68,169,234,2,103,264,16,117,295,42,143,264,35,136,234,1
68,169,234,2,103,264,16,117,295,42,143,264,35,136,234,1
68,136,234,2,103,264,16,117,295,42,143,264,35,136,234,0
68,136,234,2,163,264,16,131,295,42,143,264,35,136,234,1
68,169,234,2,123,264,16,131,295,42,143,264,35,136,234,1
68,203,234,2,123,264,16,131,295,42,143,264,35,136,234,1
102,203,234,22,123,264,30,131,295,42,123,264,35,136,234,1
102,203,234,22,123,264,30,145,295,42,123,264,35,136,234,1
102,203,234,22,123,264,30,160,295,42,143,264,35,136,234,1
102,203,234,22,123,264,30,174,295,42,143,264,35,136,234,1
102,203,234,22,143,264,30,131,295,42,163,264,35,136,234,1
102,203,234,42,143,264,30,131,295,62,163,264,35,136,234,1
102,203,234,42,143,264,30,145,295,62,183,264,35,136,234,1
102,203,234,42,143,264,30,145,295,62,203,264,35,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,203,264,44,145,295,102,203,264,68,169,234,0
102,203,234,42,143,264,44,203,295,102,203,264,68,169,234,0
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,169,234,1
102,203,234,42,143,264,44,145,295,102,203,264,68,203,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,123,264,2,103,295,2,123,264,2,103,234,1
2,103,234,2,143,264,2,117,295,2,123,264,2,103,234,1
2,103,234,42,143,264,16,117,295,22,123,264,2,103,234,1
2,103,234,42,143,264,16,117,295,22,123,264,2,136,234,0
2,103,234,42,143,264,16,117,295,22,123,264,2,136,234,0
2,103,234,42,143,264,16,117,295,22,123,264,2,103,234,1
2,103,234,42,183,264,16,117,295,22,123,264,2,103,234,1
2,103,234,42,203,264,16,117,295,22,123,264,2,103,234,0
2,103,234,102,203,264,16,117,295,22,123,264,2,103,234,1
2,103,234,102,203,264,16,117,295,22,143,264,2,103,234,1
2,136,234,102,203,264,16,131,295,22,143,264,2,103,234,1
35,136,234,102,203,264,30,131,295,42,143,264,2,103,234,1
35,136,234,102,203,264,30,131,295,42,143,264,2,103,234,1
35,136,234,102,203,264,30,131,295,42,143,264,2,103,234,1
35,136,234,102,203,264,30,131,295,42,183,264,2,103,234,1
35,136,234,102,203,264,30,131,295,42,143,264,2,103,234,1
35,136,234,102,203,264,30,131,295,42,143,264,2,169,234,0
35,136,234,102,203,264,30,145,295,42,203,264,2,103,234,1
35,169,234,102,203,264,30,160,295,42,143,264,2,103,234,1
35,136,234,102,203,264,30,174,295,42,143,264,2,103,234,1
35,136,234,102,203,264,30,131,295,42,143,264,2,103,234,1
35,169,234,102,203,264,30,131,295,42,143,264,2,136,234,1
68,203,234,102,203,264,30,131,295,42,143,264,35,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,203,295,42,143,264,68,169,234,0
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,169,234,1
102,203,234,102,203,264,30,131,295,42,143,264,68,203,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,117,295,2,123,264,2,103,234,0
2,103,234,2,103,264,2,145,295,2,123,264,2,103,234,0
2,103,234,2,103,264,2,145,295,2,143,264,2,136,234,0
35,136,234,2,143,264,102,203,295,42,143,264,35,136,234,1
35,136,234,42,183,264,102,203,295,42,143,264,35,136,234,1
35,136,234,42,143,264,102,203,295,42,143,264,35,169,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,103,295,2,143,264,2,103,234,0
2,103,234,2,103,264,2,103,295,2,183,264,2,103,234,0
2,103,234,2,123,264,2,103,295,2,183,264,2,136,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,131,295,2,103,264,2,103,234,1
2,103,234,2,103,264,30,131,295,2,103,264,2,103,234,1
2,103,234,2,103,264,30,131,295,2,123,264,2,136,234,0
2,103,234,2,103,264,30,131,295,2,163,264,2,136,234,0
2,136,234,2,103,264,30,131,295,2,163,264,2,169,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,136,234,2,123,264,2,103,295,2,103,264,2,103,234,1
2,136,234,2,143,264,2,117,295,2,103,264,2,103,234,1
35,136,234,42,123,264,16,117,295,2,103,264,2,103,234,1
35,136,234,42,123,264,16,117,295,2,103,264,2,103,234,1
35,136,234,42,143,264,16,117,295,2,103,264,2,103,234,1
35,136,234,42,143,264,16,117,295,2,103,264,2,103,234,1
35,136,234,42,163,264,16,117,295,2,123,264,2,103,234,1
35,136,234,42,163,264,16,131,295,2,143,264,2,103,234,1
35,136,234,62,163,264,30,131,295,42,143,264,2,103,234,1
35,136,234,62,163,264,30,131,295,42,123,264,2,103,234,1
35,136,234,62,163,264,30,131,295,42,143,264,2,103,234,1
35,136,234,62,143,264,30,145,295,42,143,264,2,103,234,1
35,136,234,62,143,264,30,145,295,42,143,264,2,103,234,1
35,136,234,62,163,264,30,160,295,42,143,264,2,103,234,1
35,169,234,62,163,264,30,131,295,42,163,264,2,103,234,1
35,169,234,62,163,264,30,131,295,42,163,264,2,136,234,1
68,169,234,62,163,264,30,131,295,62,163,264,35,169,234,1
68,169,234,62,163,264,30,131,295,62,163,264,35,136,234,1
68,169,234,62,163,264,30,174,295,62,163,264,35,136,234,1
68,169,234,62,183,264,30,188,295,62,163,264,35,136,234,1
68,169,234,62,163,264,30,131,295,62,163,264,35,136,234,1
68,169,234,62,183,264,30,145,295,62,163,264,35,136,234,1
68,169,234,82,183,264,44,145,295,62,163,264,35,136,234,1
68,169,234,82,183,264,44,145,295,62,163,264,35,136,234,1
68,169,234,82,183,264,44,145,295,62,163,264,35,136,234,1
68,169,234,82,183,264,44,174,295,62,163,264,35,136,234,1
68,169,234,82,183,264,73,174,295,62,163,264,35,136,234,1
68,169,234,82,183,264,73,174,295,62,203,264,35,136,234,1
68,169,234,82,183,264,73,188,295,102,203,264,35,169,234,0
68,169,234,82,203,264,73,203,295,102,203,264,35,169,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,143,264,2,103,295,2,103,264,2,103,234,1
2,103,234,42,143,264,2,103,295,2,103,264,2,103,234,1
2,103,234,42,143,264,2,103,295,2,123,264,2,136,234,0
2,103,234,42,143,264,2,117,295,2,123,264,2,136,234,0
2,203,234,42,183,264,16,117,295,22,143,264,35,136,234,1
102,203,234,82,183,264,16,117,295,42,143,264,35,169,234,1
102,203,234,82,183,264,16,131,295,42,143,264,35,169,234,1
102,203,234,82,183,264,30,131,295,42,143,264,68,136,234,1
102,203,234,82,183,264,30,174,295,42,143,264,68,136,234,1
102,203,234,82,143,264,30,174,295,42,143,264,68,136,234,1
102,203,234,82,183,264,30,131,295,42,143,264,68,169,234,1
102,203,234,82,183,264,30,188,295,42,123,264,68,169,234,1
102,203,234,82,203,264,30,145,295,42,143,264,68,169,234,1
102,203,234,102,203,264,44,145,295,42,143,264,68,203,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,136,234,2,123,264,2,103,295,2,103,264,2,103,234,0
2,136,234,2,123,264,2,131,295,2,103,264,2,103,234,1
